company_name,number_of_investments,number_of_exits,location,investor_type,description,company_url,domain,Unnamed: 8,facebook,instagram,linkedin,twitter,Unnamed: 13,contact_email,phone_number,industries,program,country,Unnamed: 19
151 Locust,,,"Avondale Estates, Georgia, United States",Incubator,151 Locust is a business incubator and coworking facility in Avondale Estates.,http://151locust.com/,151locust.com,,,,,,,info@151locust.com,,,,United States,
Telfair Capital,,,"Atlanta, Georgia, United States",Venture Capital,"Telfair Capital is dedicated investing through the purchase of receivables in retail, hospitality, distribution, and retail services.",http://www.telfaircapital.com,telfaircapital.com,,,,,,,info@telfaircapital.com,888.273.0806,Finance,,United States,
Healey Weatherholtz Properties,,,"Atlanta, Georgia, United States",Private Equity Firm,HWP is a real estate development and investment management firm that invests and develops buildings for local communities.,https://www.hwproperties.com/,hwproperties.com,,,,,,,info@hwproperties.com,(404) 237-7710,"Real Estate, Real Estate Investment, Residential",,United States,
Pritzker Group Venture Capital,210.0,45.0,"Chicago, Illinois, United States",Venture Capital,Pritzker Group Venture Capital is a trusted partner helping entrepreneurs build market-leading technology companies,http://www.pritzkergroup.com/venture-capital/,pritzkergroup.com,,https://www.facebook.com/PritzkerVC,,http://www.linkedin.com/company/the-pritzker-group/,https://twitter.com/PritzkerVC,,info@pritzkergroup.com,,"Finance, Financial Services, Venture Capital",,United States,
Serra Ventures,199.0,10.0,"Champaign, Illinois, United States",Micro VC,Serra Ventures is an early stage venture capital firm investing in technology companies in emerging Midwest technology centers,https://serraventures.com/,serraventures.com,,https://www.facebook.com/SerraVentures,,https://www.linkedin.com/company/serra-ventures/?originalSubdomain=ph,https://twitter.com/SerraVentures,,info@serraventures.com,217.819.5200,"Agriculture, Information Technology, Venture Capital",,United States,
Lightbank,150.0,32.0,"Chicago, Illinois, United States",Venture Capital,"Lightbank VC is a venture fund based out of Chicago investing at the earliest stage across consumer, enterprise, fin-tech and more.",http://www.lightbank.com,lightbank.com,,,,https://www.linkedin.com/company-beta/869339,,,info@lightbank.com,,"EdTech, Enterprise Software, FinTech, Human Resources, Internet, Local, Marketplace, Mobile, Small and Medium Businesses",,United States,
Chicago Ventures,135.0,23.0,"Chicago, Illinois, United States",Venture Capital,"An early-stage venture capital fund, investing in exceptional entrepreneurs in the Central US.",https://chicagoventures.com/,chicagoventures.com,,https://www.facebook.com/ChicagoVentures/,https://www.instagram.com/chicagoventures/,http://www.linkedin.com/company/3197829,https://twitter.com/ChicagoVentures,,info@chicagoventures.com,1-855-500-0217,"Finance, Financial Services, Software, Venture Capital",,United States,
Hyde Park Venture Partners,131.0,22.0,"Chicago, Illinois, United States",Venture Capital,"Hyde Park Venture Partners (HPVP) is an early-stage venture capital firm focused on high-growth, mid-continent technology startups.",https://www.hydeparkvp.com/,hydeparkvp.com,,,,http://www.linkedin.com/company/hyde-park-venture-partners,https://twitter.com/hydeparkvp?lang=en,,greg@hydeparkvp.com,,"Enterprise Software, Financial Services, Venture Capital",,United States,
Second Century Ventures,128.0,11.0,"Chicago, Illinois, United States","Corporate Venture Capital, Venture Capital, Venture Debt",Second Century Ventures (SCV) is a venture capital fund focused on promoting innovation in the real estate industry.,http://www.secondcenturyventures.com,secondcenturyventures.com,,,,https://www.linkedin.com/company/704135/,,,hello@secondcenturyventures.com,312-329-8524,"Commercial Real Estate, Financial Services, Home Services, Insurance, Property Management, Real Estate, Real Estate Investment, SaaS, Smart Home, Venture Capital",,United States,
OCA Ventures,123.0,22.0,"Chicago, Illinois, United States",Venture Capital,"OCA Ventures is a venture capital firm focused on equity investments in companies with dramatic growth potential, primarily in technology",https://www.ocaventures.com/,ocaventures.com,,,,http://www.linkedin.com/company/oca-ventures,https://twitter.com/ocaventures,,plans@ocaventures.com,(312) 327-8400,"Angel Investment, Finance, Venture Capital",,United States,
